"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"36",465578,703925,"Domestic Well",275411,4371168,39.46,-107.61,"NWSE",12,"7 S","92 W","6","GARFIELD                           ",244019,"",120,2006-02-07,"WATER","",71331433,"UnSpecified-Older data may not contain method info","TOLUENE",1.9,"","ug/L","",1
"37",465578,703925,"Domestic Well",275411,4371168,39.46,-107.61,"NWSE",12,"7 S","92 W","6","GARFIELD                           ",244019,"",120,2006-02-07,"WATER","",71331405,"UnSpecified-Older data may not contain method info","BENZENE",1,"","ug/L","",0.5
"38",466102,703942,"Irrigation",272085,4371068,39.45,-107.64,"NWSE",10,"7 S","92 W","6","GARFIELD                           ",213138,"",277,2004-04-15,"WATER","",71652036,"UnSpecified-Older data may not contain method info","TOLUENE",2.8,"","ug/L","",2
"39",466438,703961,"Domestic Well",270549,4374465,39.48,-107.66,"NWNE",33,"6 S","92 W","6","GARFIELD                           ",NA,"",NA,2001-09-07,"WATER","",71566728,"UnSpecified-Older data may not contain method info","m-+p-XYLENE",4,"","ug/L","",2
"40",466556,704016,"Domestic Well",270910,4365547,39.4,-107.66,"NWNW",34,"7 S","92 W","6","GARFIELD                           ",129874,"",NA,2002-12-20,"WATER","",71588947,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"41",466557,704016,"Domestic Well",270910,4365547,39.4,-107.66,"NWNW",34,"7 S","92 W","6","GARFIELD                           ",129874,"",NA,2002-12-20,"WATER","",71679085,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"42",466582,704032,"Domestic Well",273246,4362181,39.37,-107.63,"NWNE",11,"8 S","92 W","","GARFIELD                           ",NA,"",NA,2003-10-08,"WATER","",71681705,"UnSpecified-Older data may not contain method info","TOLUENE",4.4,"","ug/L","",2
"43",466658,704068,"Domestic Well",268540,4374814,39.49,-107.69,"SESW",29,"6 S","92 W","6","GARFIELD                           ",NA,"",NA,2004-09-21,"WATER","",71573703,"UnSpecified-Older data may not contain method info","TOLUENE",9.3,"","ug/L","",5
"44",467724,703017,"Domestic Well",273939,4363932,39.39,-107.62,"",2,"8 S","92 W","6","GARFIELD                           ",NA,"",320,1997-07-11,"WATER","",71360960,"UnSpecified-Older data may not contain method info","ETHYLBENZENE",1.2,"","ug/L","",0.2
"45",467724,703017,"Domestic Well",273939,4363932,39.39,-107.62,"",2,"8 S","92 W","6","GARFIELD                           ",NA,"",320,1997-07-11,"WATER","",71481635,"UnSpecified-Older data may not contain method info","TOLUENE",0.8,"J","ug/L","",0.2
"46",467724,703017,"Domestic Well",273939,4363932,39.39,-107.62,"",2,"8 S","92 W","6","GARFIELD                           ",NA,"",320,1997-07-11,"WATER","",71481636,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",1.9,"","ug/L","",0.2
"47",467810,703078,"Domestic Well",281536,4385127,39.58,-107.54,"",30,"5 S","90 W","6","GARFIELD                           ",NA,"",NA,1997-06-02,"WATER","",71505887,"UnSpecified-Older data may not contain method info","TOLUENE",3.1,"","ug/L","",0.2
"48",467810,703078,"Domestic Well",281536,4385127,39.58,-107.54,"",30,"5 S","90 W","6","GARFIELD                           ",NA,"",NA,1997-06-02,"WATER","",71505888,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",1.6,"","ug/L","",0.2
"49",467811,703079,"Domestic Well",270329,4379474,39.53,-107.67,"",9,"6 S","92 W","6","GARFIELD                           ",NA,"",70,1997-06-04,"WATER","",71628803,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",0.78,"J","ug/L","",0.2
