"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","btex_sum","btex_det","wattenberg"
"14",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",564123,2017-12-07,NA,NA,NA,NA,NA,NA,3.43,0,FALSE,TRUE
"15",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",566075,2018-03-12,NA,NA,NA,NA,NA,NA,5.26,0,FALSE,TRUE
"16",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",601467,2018-05-23,NA,NA,NA,NA,NA,NA,6.04,0,FALSE,TRUE
"17",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",601952,2018-08-22,NA,NA,NA,NA,NA,NA,3.61,0,FALSE,TRUE
"18",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",602979,2018-11-06,NA,NA,NA,NA,NA,NA,4.53,0,FALSE,TRUE
"19",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",605556,2019-01-30,NA,NA,NA,NA,NA,NA,5.02,0,FALSE,TRUE
"20",700018,"Domestic Well",515919,4450104,"18396","9062513",361,"WATER",608295,2019-05-15,NA,NA,NA,NA,NA,NA,4.86,0,FALSE,TRUE
"21",700019,"Domestic Well",523034,4451858,"160044","0325387",440,"WATER",536993,2014-01-16,NA,NA,NA,NA,NA,NA,0.0079,0,FALSE,TRUE
"22",700019,"Domestic Well",523034,4451858,"160044","0325387",440,"WATER",538886,2014-07-09,NA,NA,NA,NA,NA,NA,0.0061,0,FALSE,TRUE
"23",700039,"Domestic Well",529944,4450731,"68855",NA,65,"WATER",540858,2014-12-03,NA,NA,NA,NA,NA,NA,4e-04,0,FALSE,TRUE
"24",700040,"Domestic Well",519406,4449648,"77924","9065472",333,"WATER",606400,2019-04-02,NA,NA,NA,NA,NA,NA,0.01,0,FALSE,TRUE
"25",702121,"Ground Water",518778,4440833,"164715","0338229",650,"WATER",467535,1998-07-16,NA,NA,NA,NA,NA,NA,4.4,0,FALSE,TRUE
"26",702121,"Ground Water",518778,4440833,"164715","0338229",650,"WATER",533405,2013-01-16,NA,NA,NA,NA,NA,NA,18.5,0,FALSE,TRUE
"27",702121,"Ground Water",518778,4440833,"164715","0338229",650,"WATER",533408,2012-02-28,NA,NA,NA,NA,NA,NA,14.7,0,FALSE,TRUE
"28",702122,"Domestic Well",511975,4433627,"174778",NA,673,"WATER",467536,1998-07-21,NA,NA,NA,NA,NA,NA,5.4,0,FALSE,TRUE
"29",703206,"Domestic Well",511357,4433289,"76216",NA,650,"WATER",560454,2017-08-15,NA,NA,NA,NA,NA,NA,2.44,0,FALSE,TRUE
"30",703207,"Municipal",507922,4428007,NA,NA,846,"WATER",468040,2001-06-14,NA,2.1,NA,NA,NA,NA,NA,2.1,TRUE,TRUE
"31",703207,"Municipal",507922,4428007,NA,NA,846,"WATER",548842,2012-06-04,NA,NA,NA,NA,NA,NA,5.08,0,FALSE,TRUE
"32",703207,"Municipal",507922,4428007,NA,NA,846,"WATER",549737,2016-05-13,NA,NA,NA,NA,NA,NA,6.3,0,FALSE,TRUE
"33",703209,"Domestic Well",512762,4434927,"173897",NA,652,"WATER",556531,2017-03-23,NA,NA,NA,NA,NA,NA,4.65,0,FALSE,TRUE
"34",703215,"Domestic Well",512074,4433165,"173127",NA,625,"WATER",554683,2016-10-24,NA,NA,NA,NA,NA,NA,4.17,0,FALSE,TRUE
"35",703246,"Domestic Well",531317,4472069,"208899","3631340",60,"WATER",468133,2001-12-05,NA,NA,NA,NA,NA,NA,0.03,0,FALSE,TRUE
"36",703278,"Domestic Well",508191,4432761,"175612","0362081",724,"WATER",468272,2004-04-28,NA,NA,NA,NA,NA,NA,8.8,0,FALSE,TRUE
