"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"507",752420,"Ground Water","205","9058350",61,"WATER",532401,2012-11-01,NA,NA,NA,NA,NA,NA,0.001,TRUE
"508",752449,"Ground Water",NA,NA,NA,"WATER",536267,2013-10-08,NA,NA,NA,NA,NA,NA,0.0123,TRUE
"509",752449,"Ground Water",NA,NA,NA,"WATER",536269,2012-09-17,NA,NA,NA,NA,NA,NA,0.0024,TRUE
"510",752450,"Ground Water","39978","0039978",NA,"WATER",536330,2013-01-30,NA,NA,NA,NA,NA,NA,0.00047,TRUE
"511",752451,"Ground Water","12317","9061110",40,"WATER",536332,2013-01-30,NA,NA,NA,NA,NA,NA,0.0014,TRUE
"512",752487,"Ground Water","43","3626112Q",NA,"WATER",532648,2012-07-19,NA,NA,NA,NA,NA,NA,0.001,TRUE
"513",752519,"Ground Water","47016","9064521",60,"WATER",532729,2013-03-13,NA,NA,NA,NA,NA,NA,0.005,TRUE
"514",752524,"Ground Water","197440","0402580",340,"WATER",535349,2013-07-02,NA,NA,NA,NA,NA,NA,0.00803,TRUE
"515",752524,"Ground Water","197440","0402580",340,"WATER",535885,2013-12-18,NA,NA,NA,NA,NA,NA,0.00045,TRUE
"516",752559,"Ground Water","18432","9062516",230,"WATER",534043,2013-01-29,NA,NA,NA,NA,NA,NA,0.00667,TRUE
"517",752559,"Ground Water","18432","9062516",230,"WATER",534045,2013-01-29,NA,NA,NA,NA,NA,NA,0.00667,TRUE
"518",752560,"Ground Water","19971","9062698",42,"WATER",534195,2013-01-29,NA,NA,NA,NA,NA,NA,0.00047,TRUE
"519",752586,"Ground Water","249190","0505896",640,"WATER",533036,2013-05-10,NA,NA,NA,NA,NA,NA,0.009,TRUE
"520",752587,"Ground Water","234828","0479283",0,"WATER",533057,2013-05-07,NA,5.1,NA,NA,NA,NA,0.008,TRUE
"521",752588,"Ground Water","17837","9062470",400,"WATER",533337,2013-05-20,NA,NA,NA,NA,NA,NA,0.019,TRUE
"522",752595,"Ground Water","83654","9065730",45,"WATER",533393,2013-01-24,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"523",752595,"Ground Water","83654","9065730",45,"WATER",537363,2014-01-10,NA,NA,NA,NA,NA,NA,0.005,TRUE
"524",752596,"Ground Water","80328","9065576",NA,"WATER",533391,2013-01-24,NA,NA,NA,NA,NA,NA,0.00078,TRUE
"525",752596,"Ground Water","80328","9065576",NA,"WATER",537367,2014-01-13,NA,NA,NA,NA,NA,NA,0.005,TRUE
"526",752597,"Ground Water","83653","9065729",45,"WATER",533389,2013-01-24,NA,NA,NA,NA,NA,NA,0.00147,TRUE
"527",752597,"Ground Water","83653","9065729",45,"WATER",537365,2014-01-10,NA,NA,NA,NA,NA,NA,0.005,TRUE
