"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"916",547092,753219,"Domestic Well",524143,4445201,40.15,-104.71,"NESE",12,"2 N","66 W","6","WELD                               ",228968,"0465526",600,"11/18/2015 10:35:00","GAS","Rule 318A.e.(4)/318A.f Post Drill",72214020,"IN HOUSE METHOD","DELTA 13C C1",-72.45,"","per mil","",NA
"917",547341,700152,"Ground Water",263756,4128741,37.27,-107.66,"SWNW",29,"35 N","7 W","N","LA PLATA                           ",NA,"",210,"7/14/2015 9:52:00","GAS","Rule 608 6 year post drill",72217400,"IN HOUSE METHOD","DELTA 13C C1",-62.67,"","per mil","",NA
"918",547564,753866,"Domestic Well",524010,4433798,40.05,-104.71,"SENE",13,"1 N","66 W","6","WELD                               ",52589,"0481799",1046,"12/7/2015 13:09:00","GAS","Voluntary baseline sample",72220407,"IN HOUSE METHOD","DELTA 13C C1",-68.15,"","per mil","",NA
"919",547594,753046,"Domestic Well",525999,4444458,40.15,-104.69,"NWSW",8,"2 N","65 W","6","WELD                               ",267021,"0545040",655,"11/24/2015 9:57:00","GAS","Voluntary baseline sample",72221021,"IN HOUSE METHOD","DELTA 13C C1",-68.4,"","per mil","",NA
"920",547610,754257,"Domestic Well",527505,4443603,40.14,-104.67,"NWNW",16,"2 N","65 W","6","WELD                               ",295744,"3666441",550,"1/6/2016 11:11:00","GAS","Voluntary baseline sample",72221410,"IN HOUSE METHOD","DELTA 13C C1",-66.88,"","per mil","",NA
"921",547630,754499,"Domestic Well",513022,4427901,40,-104.84,"SWSW",36,"1 N","67 W","6","WELD                               ",74895,"9065369",NA,"12/7/2015 11:12:00","GAS","Voluntary baseline sample",72221802,"IN HOUSE METHOD","DELTA 13C C1",-71.45,"","per mil","",NA
"922",547654,754483,"Domestic Well",513543,4428656,40,-104.84,"SENW",36,"1 N","67 W","6","WELD                               ",48617,"0408131",780,"11/30/2015 14:28:00","GAS","Voluntary baseline sample",72222275,"IN HOUSE METHOD","DELTA 13C C1",-72.96,"","per mil","",NA
"923",547678,754476,"Domestic Well",532924,4441222,40.12,-104.61,"NESW",24,"2 N","65 W","6","WELD                               ",226371,"0460431",665,"11/23/2015 13:23:00","GAS","Voluntary baseline sample",72222605,"IN HOUSE METHOD","DELTA 13C C1",-71.91,"","per mil","",NA
"924",547692,753445,"Domestic Well",523550,4446897,40.17,-104.72,"NWNE",1,"2 N","66 W","6","WELD                               ",236954,"0481950",705,"12/2/2015 12:42:00","GAS","Rule 318A.e.(4)/318A.f Post Drill",72222905,"IN HOUSE METHOD","DELTA 13C C1",-69.1,"","per mil","",NA
"925",547706,753386,"Domestic Well",523908,4444784,40.15,-104.71,"NENE",12,"2 N","66 W","6","WELD                               ",7230,"9059851",44,"11/12/2015 12:27:00","GAS","Rule 318A.e.(4)/318A.f Post Drill",72223131,"IN HOUSE METHOD","DELTA 13C C1",-71.61,"","per mil","",NA
