"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"34",454528,703458,"Domestic Well",262424,4125443,37.24,-107.67,"NWNW",14,"33 N","10 W","S","LA PLATA                           ",NA,"",100,"10/15/2001 0:00:00","GAS","",71356205,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-70.72,"","per mil VPDB","",NA
"35",454530,703458,"Domestic Well",262424,4125443,37.24,-107.67,"NWNW",14,"33 N","10 W","S","LA PLATA                           ",NA,"",100,"6/10/2002 0:00:00","GAS","",71356217,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.83,"","per mil VPDB","",NA
"36",454541,703460,"Domestic Well",265074,4125432,37.24,-107.64,"NW",4,"34 N","7 W","N","LA PLATA                           ",NA,"",275,"6/13/2001 0:00:00","GAS","",71356246,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-60.5,"","per mil VPDB","",NA
"37",454543,703461,"Domestic Well",264913,4125771,37.24,-107.65,"NWNW",4,"34 N","7 W","N","LA PLATA                           ",NA,"",170,"6/11/2001 0:00:00","GAS","",71356223,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.15,"","per mil VPDB","",NA
"38",454545,703461,"Domestic Well",264913,4125771,37.24,-107.65,"NWNW",4,"34 N","7 W","N","LA PLATA                           ",NA,"",170,"6/11/2001 0:00:00","GAS","",71356224,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.15,"","per mil VPDB","",NA
"39",454549,703461,"Domestic Well",264913,4125771,37.24,-107.65,"NWNW",4,"34 N","7 W","N","LA PLATA                           ",NA,"",170,"2/16/2006 0:00:00","GAS","",71591957,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.7,"","per mil VPDB","",NA
"40",454551,703461,"Domestic Well",264913,4125771,37.24,-107.65,"NWNW",4,"34 N","7 W","N","LA PLATA                           ",NA,"",170,"1/27/2009 0:00:00","GAS","",71627976,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.97,"","per mil VPDB","",NA
"41",454559,703463,"Groundwater",271328,4124665,37.24,-107.57,"NE",1,"34 N","7 W","N","LA PLATA                           ",NA,"",NA,"8/8/2001 0:00:00","GAS","",71356279,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.47,"","per mil VPDB","",NA
"42",454561,703463,"Groundwater",271328,4124665,37.24,-107.57,"NE",1,"34 N","7 W","N","LA PLATA                           ",NA,"",NA,"10/18/2002 0:00:00","GAS","",71356277,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.68,"","per mil VPDB","",NA
"43",454563,703463,"Groundwater",271328,4124665,37.24,-107.57,"NE",1,"34 N","7 W","N","LA PLATA                           ",NA,"",NA,"10/18/2005 0:00:00","GAS","",71738843,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.98,"","per mil VPDB","",NA
"44",454569,703464,"Domestic Well",273286,4125013,37.24,-107.55,"SWNW",5,"34 N","6 W","N","LA PLATA                           ",NA,"",130,"1/3/2002 0:00:00","GAS","",71356261,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-47.71,"","per mil VPDB","",NA
"45",454572,703464,"Domestic Well",273286,4125013,37.24,-107.55,"SWNW",5,"34 N","6 W","N","LA PLATA                           ",NA,"",130,"1/31/2002 0:00:00","GAS","",71356262,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-47.71,"","per mil VPDB","",NA
"46",454621,703476,"Stock or  Irrigation",257729,4119996,37.19,-107.72,"NW",6,"34 N","6 W","N","LA PLATA                           ",NA,"",140,"12/14/2000 0:00:00","GAS","",71356294,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-42.06,"","per mil VPDB","",NA
"47",454623,703476,"Stock or  Irrigation",257729,4119996,37.19,-107.72,"NW",6,"34 N","6 W","N","LA PLATA                           ",NA,"",140,"2/15/2001 0:00:00","GAS","",71356293,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-42.15,"","per mil VPDB","",NA
"48",458322,704768,"Domestic Well",524589,4133900,37.35,-104.72,"NWNW",18,"31 S","65 W","","LAS ANIMAS                         ",NA,"",NA,"3/20/2007 0:00:00","GAS","",71494023,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-66.18,"","per mil VPDB","",NA
"49",458324,704769,"Ground Water",538528,4419631,39.92,-104.54,"NENE",33,"1 S","64 W","6","ADAMS                              ",244247,"",400,"10/6/2006 0:00:00","GAS","Complaint Investigation",71443843,"UnSpecified-Older data may not contain method info","DELTA 13C C2",-32.87,"","per mil VPDB","",NA
"50",458324,704769,"Ground Water",538528,4419631,39.92,-104.54,"NENE",33,"1 S","64 W","6","ADAMS                              ",244247,"",400,"10/6/2006 0:00:00","GAS","Complaint Investigation",71443841,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-49.11,"","per mil VPDB","",NA
"51",458324,704769,"Ground Water",538528,4419631,39.92,-104.54,"NENE",33,"1 S","64 W","6","ADAMS                              ",244247,"",400,"10/6/2006 0:00:00","GAS","Complaint Investigation",71443844,"UnSpecified-Older data may not contain method info","DELTA 13C C3",-28.35,"","per mil VPDB","",NA
"52",458332,704770,"Ground Water",526462,4122651,37.25,-104.7,"NWNW",20,"32 S","65 W","","LAS ANIMAS                         ",252269,"",430,"12/7/2006 0:00:00","GAS","",71480561,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.47,"","per mil VPDB","",NA
"53",458333,704770,"Ground Water",526462,4122651,37.25,-104.7,"NWNW",20,"32 S","65 W","","LAS ANIMAS                         ",252269,"",430,"12/7/2006 0:00:00","WATER","",71480562,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-71.47,"","per mil VPDB","",NA
"54",458334,704770,"Ground Water",526462,4122651,37.25,-104.7,"NWNW",20,"32 S","65 W","","LAS ANIMAS                         ",252269,"",430,"5/19/2008 0:00:00","GAS","Complaint Investigation",71600535,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-67.17,"","per mil VPDB","",NA
"55",458745,700277,"Ground Water",255074,4109209,37.09,-107.75,"SWSE",18,"33 N","8 W","N","LA PLATA                           ",144427,"",250,"10/31/1994 0:00:00","GAS","",71887551,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-62.06,"","per mil VPDB","",NA
"56",458763,700283,"Ground Water",273951,4131975,37.3,-107.55,"NWNE",17,"35 N","6 W","N","LA PLATA                           ",NA,"",233,"11/2/1994 0:00:00","GAS","",71887595,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-50.35,"","per mil VPDB","",NA
"57",458771,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"11/2/1994 0:00:00","GAS","",71887631,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-40.79,"","per mil VPDB","",NA
"58",458773,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"9/4/1996 0:00:00","GAS","",71363541,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-39.68,"","per mil VPDB","",NA
"59",458776,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"8/9/2000 0:00:00","GAS","",71356269,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-45.48,"","per mil VPDB","",NA
