"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"678",754342,"Domestic Well",520264,4434507,"96706","9066028",340,"GAS",545686,2015-09-02,45.6,0.06,1e-04,"MOL %",-79.34,"per mil",758.73544093178,"Microbial",""
"679",754347,"Domestic Well",517493,4434358,"146970","0496606",830,"GAS",545680,2015-09-08,44.76,0.07,2e-04,"MOL %",-70.84,"per mil",637.606837606837,"Microbial",""
"680",754335,"Domestic Well",517834,4434313,"49082","9064620",802,"GAS",545692,2015-09-02,57.1,0.09,1e-04,"MOL %",-70.56,"per mil",633.740288568257,"Microbial",""
"681",754336,"Domestic Well",517759,4434312,"147261","0273269",800,"GAS",545698,2015-09-02,74.42,0.08,1e-04,"MOL %",-68.64,"per mil",929.088639200999,"Microbial",""
"682",754325,"Domestic Well",519487,4434408,"230139","0466480",845,"GAS",545714,2015-08-27,50.1,0.07,2e-04,"MOL %",-71.81,"per mil",713.675213675214,"Microbial",""
"683",754324,"Domestic Well",517916,4433810,"287312","3653052",950,"GAS",545722,2015-08-24,78.77,0.06,1e-04,"MOL %",-69.27,"per mil",1310.64891846922,"Microbial",""
"684",754664,"Domestic Well",511891,4430823,"245685","0499261B",820,"GAS",549966,2016-03-25,39.92,0.04,4e-04,"MOL %",-71.34,"per mil",988.118811881188,"Microbial",""
"685",754133,"Domestic Well",514200,4444409,"231074","0470831",450,"GAS",543429,2015-03-16,52.17,0.06,1e-04,"MOL %",-70.78,"per mil",868.053244592346,"Microbial",""
"686",753991,"Domestic Well",512172,4436776,"165600","0341230",650,"GAS",542593,2015-01-27,45.64,0.04,1e-04,"MOL %",-72.62,"per mil",1138.15461346633,"Microbial",""
"687",752949,"Stock or  Irrigation",521576,4437162,"29774","9063462",890,"GAS",543712,2015-04-07,73.22,0.07,1e-04,"MOL %",-70.14,"per mil",1044.50784593438,"Microbial",""
"688",753985,"Domestic Well",520718,4434412,"41184","9064225",922,"GAS",542605,2015-01-27,52,0.06,1e-04,"MOL %",-74.02,"per mil",865.22462562396,"Microbial",""
"689",753987,"Domestic Well",514559,4442895,"41068","0335897",520,"GAS",542619,2015-01-27,22.25,0.02,1e-04,"MOL %",-71.09,"per mil",1106.96517412935,"Microbial",""
"690",753994,"Domestic Well",519401,4436127,"281923","3642599",NA,"GAS",542668,2015-01-29,52.59,0.06,1e-04,"MOL %",-73.52,"per mil",875.04159733777,"Microbial",""
"691",752852,"Domestic Well",518769,4441588,"257066","0523342",NA,"GAS",543724,2015-04-20,78.36,0.08,1e-04,"MOL %",-70.83,"per mil",978.277153558052,"Microbial",""
"692",754186,"Commercial",516189,4440639,"77495","3661045",640,"GAS",543746,2015-04-21,57.08,0.07,2e-04,"MOL %",-73.59,"per mil",813.105413105413,"Microbial",""
"693",754140,"Domestic Well",511268,4431883,"119837","0215019A",730,"GAS",543830,2015-03-19,62.88,0.06,1e-04,"MOL %",-71.38,"per mil",1046.25623960067,"Microbial",""
"694",753516,"Ground Water",711045,4438691,"12780","9067602",270,"GAS",543841,2015-05-18,19.77,0.01,0.01,"MOL %",-62.6,"per mil",988.5,"Microbial",""
"695",754177,"Domestic Well",517836,4436566,"275964","3621981",780,"GAS",543850,2015-04-02,61.02,0.1,5e-04,"MOL %",-70.79,"per mil",607.164179104478,"Microbial",""
"696",754382,"Commercial",525716,4439173,"65391","3612401",720,"GAS",545834,2015-09-23,72.42,0.05,1e-04,"MOL %",-71.36,"per mil",1445.50898203593,"Microbial",""
"697",754930,"Domestic Well",521252,4434027,"208722","0427354",1120,"GAS",553579,2016-07-01,65.11,0.09,1e-04,"MOL %",-70.43,"per mil",722.641509433962,"Microbial",""
"698",753580,"Domestic Well",539464,4443661,"223919","0457189B",920,"GAS",548229,2014-07-10,56.52,0.03,0.005,"MOL %",-72.5,"per mil",1614.85714285714,"Microbial",""
"699",754637,"Commercial",533051,4450944,"297136","3668373",560,"GAS",549261,2016-03-01,59.69,0.07,0.001,"MOL %",-69.2,"per mil",840.704225352113,"Microbial",""
"700",756950,"Domestic Well",504335,4425268,"274412","3617111",860,"GAS",560137,2017-09-19,19.62,0.03,0.01,"MOL %",-68.3,"per mil",490.5,"Microbial",""
"701",754883,"Ground Water",530040,4432652,"245545","0493173",980,"GAS",549672,2016-04-14,35.9,0.03,0.005,"MOL %",-79.71,"per mil",1025.71428571429,"Microbial",""
"702",706602,"Domestic Well",267147,4119884,"152916",NA,145,"GAS",547504,2015-12-03,22.97,0.0048,1e-04,"MOL %",-67.74,"per mil",4687.75510204082,"Microbial",""
"703",705344,"Commercial",525431,4451274,"54053",NA,400,"GAS",548665,2016-02-16,20.69,0.01,1e-04,"MOL %",-71.71,"per mil",2048.51485148515,"Microbial",""
"704",754615,"Domestic Well",532228,4444080,"78518","3666476",540,"GAS",548685,2016-02-16,72.95,0.04,1e-04,"MOL %",-72.48,"per mil",1819.20199501247,"Microbial",""
"705",755452,"Domestic Well",535824,4397910,"64044","3600635A",682,"GAS",556301,2017-03-27,7.58,0.01,0.01,"MOL %",-87.7,"per mil",379,"Microbial",""
"706",755629,"Domestic Well",517746,4432033,"269829","0540936",901,"GAS",559626,2017-06-06,33.44,0.03,7e-04,"MOL %",-71.97,"per mil",1089.25081433225,"Microbial",""
"707",755650,"Domestic Well",518804,4432798,"31188","0485235B",912,"GAS",559652,2017-06-13,61.7,0.07,1e-04,"MOL %",-72.43,"per mil",880.171184022824,"Microbial",""
"708",755506,"Domestic Well",517752,4433076,"222872","0436661",845,"GAS",559696,2017-04-25,56.2,0.1,2e-04,"MOL %",-72.13,"per mil",560.878243512974,"Microbial",""
"709",755927,"Domestic Well",504531,4425270,"260406","0531072",920,"GAS",560061,2017-09-11,22.97,0.06,0.02,"MOL %",-68.8,"per mil",287.125,"Microbial",""
"710",757178,"Domestic Well",523476,4434900,"174771","0360854A",920,"GAS",564455,2017-12-06,73.13,0.05,1e-04,"MOL %",-71.21,"per mil",1459.68063872255,"Microbial",""
"711",757182,"Domestic Well",522237,4431328,"76775","9065427",1045,"GAS",564471,2017-12-08,48.23,0.05,1e-04,"MOL %",-73.25,"per mil",962.674650698603,"Microbial",""
"712",754906,"Stock or  Irrigation",592421,4499480,"115190","9066281",1060,"GAS",550189,2016-06-07,40.64,0.03,0.01,"MOL %",-73.4,"per mil",1016,"Microbial",""
