"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"117",474314,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"9/8/2005 0:00:00","WATER","",71772093,"UnSpecified-Older data may not contain method info","TOLUENE",17,"","ug/L","",2
"118",474316,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"10/6/2005 0:00:00","WATER","",71379447,"UnSpecified-Older data may not contain method info","TOLUENE",7.3,"","ug/L","",2
"119",474318,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"11/3/2005 0:00:00","WATER","",71379490,"UnSpecified-Older data may not contain method info","TOLUENE",3.8,"","ug/L","",2
"120",474320,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"12/13/2005 0:00:00","WATER","",71570702,"UnSpecified-Older data may not contain method info","TOLUENE",6.3,"","ug/L","",2
"121",474324,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"2/8/2006 0:00:00","WATER","",71678057,"UnSpecified-Older data may not contain method info","TOLUENE",6,"","ug/L","",1
"122",474326,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"3/15/2006 0:00:00","WATER","",71694883,"UnSpecified-Older data may not contain method info","TOLUENE",3.6,"","ug/L","",2
"123",474328,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"4/17/2006 0:00:00","WATER","",71772404,"UnSpecified-Older data may not contain method info","TOLUENE",6.2,"","ug/L","",2
"124",474330,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"5/15/2006 0:00:00","WATER","",71386203,"UnSpecified-Older data may not contain method info","TOLUENE",4.2,"","ug/L","",2
"125",474334,704221,"Domestic Well",273755,4372314,39.47,-107.63,"SWNE",2,"7 S","92 W","6","GARFIELD                           ",259960,"",300,"6/21/2006 0:00:00","WATER","",71591164,"UnSpecified-Older data may not contain method info","TOLUENE",3.7,"","ug/L","",2
"126",474338,704222,"Domestic Well",271828,4372769,39.47,-107.65,"",3,"6 S","92 W","6","GARFIELD                           ",NA,"",NA,"10/18/2004 0:00:00","WATER","",71678457,"UnSpecified-Older data may not contain method info","TOLUENE",2.6,"","ug/L","",2
"127",474339,704222,"Domestic Well",271828,4372769,39.47,-107.65,"",3,"6 S","92 W","6","GARFIELD                           ",NA,"",NA,"12/1/2004 0:00:00","WATER","",71694936,"UnSpecified-Older data may not contain method info","TOLUENE",3,"","ug/L","",2
"128",474567,704245,"Domestic Well",500616,4124617,37.26,-104.99,"SWNE",18,"32 S","68 W","6","LAS ANIMAS                         ",NA,"",1315,"9/20/2004 0:00:00","WATER","",71793806,"UnSpecified-Older data may not contain method info","TOLUENE",2.2,"","ug/L","",2
"129",474833,704319,"Domestic Well",271190,4365037,39.4,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/10/2003 0:00:00","WATER","",71335487,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"130",474834,704319,"Domestic Well",271190,4365037,39.4,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/10/2003 0:00:00","WATER","",71335526,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"131",474838,704321,"Domestic Well",274115,4363960,39.39,-107.62,"NWNW",1,"8 S","92 W","6","GARFIELD                           ",180717,"",320,"1/9/2003 0:00:00","WATER","",71335647,"UnSpecified-Older data may not contain method info","TOLUENE",1.3,"","ug/L","",0.2
"132",474839,704322,"Domestic Well",271878,4369995,39.44,-107.65,"SWNE",15,"7 S","92 W","6","GARFIELD                           ",155931,"",260,"1/17/2003 0:00:00","WATER","",71335679,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"133",474840,704322,"Domestic Well",271878,4369995,39.44,-107.65,"SWNE",15,"7 S","92 W","6","GARFIELD                           ",155931,"",260,"1/17/2003 0:00:00","WATER","",71335718,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"134",474849,704327,"Domestic Well",272476,4365691,39.41,-107.64,"NWNW",35,"7 S","92 W","6","GARFIELD                           ",NA,"",230,"12/20/2002 0:00:00","WATER","",71340385,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"135",474850,704327,"Domestic Well",272476,4365691,39.41,-107.64,"NWNW",35,"7 S","92 W","6","GARFIELD                           ",NA,"",230,"12/20/2002 0:00:00","WATER","",71340424,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"136",474852,704328,"Domestic Well",271262,4369871,39.44,-107.65,"SWNW",15,"7 S","92 W","6","GARFIELD                           ",237998,"",203,"1/17/2003 0:00:00","WATER","",71340523,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"137",474853,704328,"Domestic Well",271262,4369871,39.44,-107.65,"SWNW",15,"7 S","92 W","6","GARFIELD                           ",237998,"",203,"1/17/2003 0:00:00","WATER","",71340562,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"138",474855,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340611,"UnSpecified-Older data may not contain method info","TOLUENE",0.5,"","ug/L","",0.2
"139",474855,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340613,"UnSpecified-Older data may not contain method info","m-+p-XYLENE",0.5,"","ug/L","",0.4
"140",474855,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340584,"UnSpecified-Older data may not contain method info","BENZENE",0.6,"","ug/L","",0.3
"141",474856,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340650,"UnSpecified-Older data may not contain method info","TOLUENE",0.5,"","ug/L","",0.2
"142",474856,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340619,"UnSpecified-Older data may not contain method info","BENZENE",0.6,"","ug/L","",0.3
