"","SampleID","FacilityID","UtmX83","UtmY83","Sample.Date","Matrix","METHANE","ETHANE","PROPANE","DELTA 13C C1","fraction_c13c1"
"162",469674,707108,267758,4120710,"1/16/2006 0:00:00","GAS",653.1,0.075,0,-54.07,8708
"163",469682,707110,259672,4123647,"6/2/2005 0:00:00","GAS",233.1,0.096,0,-68.46,2428.125
"164",469686,707110,259672,4123647,"10/6/2009 0:00:00","GAS",313,0.1,0,-70.01,3130
"165",469694,707112,265981,4122262,"9/20/2005 0:00:00","GAS",652.9,0.2,0,-60.03,3264.5
"166",469708,707115,263745,4123834,"11/16/2005 0:00:00","GAS",249.4,0.067,0,-61.2,3722.38805970149
"167",469719,707117,263324,4123020,"12/14/2005 0:00:00","GAS",685.4,0.2,0,-69.87,3427
"168",469751,707127,263945,4122859,"12/20/2005 0:00:00","GAS",809.5,0.2,0,-66.02,4047.5
"169",469749,707127,263945,4122859,"1/2/2005 0:00:00","GAS",827.3,0.2,0,-67.12,4136.5
"170",469756,707128,262797,4121322,"9/25/2006 0:00:00","GAS",626,0.1,0,-71.57,6260
"171",469789,707140,267282,4120000,"1/24/2006 0:00:00","GAS",331.5,0.094,0,-85.14,3526.59574468085
"172",469787,707140,267282,4120000,"4/19/2005 0:00:00","GAS",269.1,0.073,0,-84.63,3686.30136986301
"173",469804,707144,266387,4122251,"9/8/2005 0:00:00","GAS",281.5,0.2,0,-56.39,1407.5
"174",469813,707146,260468,4124901,"10/18/2006 0:00:00","GAS",480.9,0.1,0,-67.59,4809
"175",469810,707146,260468,4124901,"8/30/2005 0:00:00","GAS",618.2,0.1,0,-68.14,6182
"176",469826,707151,259626,4125560,"8/25/2005 0:00:00","GAS",214.5,0.1,0,-75.18,2145
"177",469828,707151,259626,4125560,"9/19/2006 0:00:00","GAS",229.6,0.1,0,-74.91,2296
"178",469830,707151,259626,4125560,"8/3/2009 0:00:00","GAS",253.5,0.088,0,-72.76,2880.68181818182
"179",469851,707158,260215,4124741,"10/18/2006 0:00:00","GAS",125.7,0.067,0,-69.45,1876.11940298507
"180",469848,707158,260215,4124741,"8/30/2005 0:00:00","GAS",147.3,0.056,0,-70.31,2630.35714285714
"181",547744,752520,515694,4453791,"1/6/2016 10:57:00","GAS",9.21,1.12,0.59,-63,5.3859649122807
"182",556492,752794,509554,4429033,"3/23/2017 12:50:00","GAS",11.68,1.13,0.38,-63.9,7.73509933774835
"183",547736,753242,516226,4450379,"1/5/2016 11:20:00","GAS",5.18,0.38,0.13,-62.7,10.156862745098
"184",547740,753245,516195,4450366,"1/5/2016 10:40:00","GAS",6.6,0.22,0.08,-64.9,22
"185",556498,753680,509604,4428950,"3/16/2017 11:15:00","GAS",12.81,1.85,0.42,-63.1,5.6431718061674
