"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","wattenberg","btex_sampled","ch4_sampled","btex_detected","ch4_detected","methane","ethane","propane","fraction","delta_13c_c1","origin"
"869","753946","Domestic Well",528485,4433475,"150326","0283307",901,TRUE,TRUE,TRUE,FALSE,TRUE,43.73,0.03,1e-04,1452.82392026578,-68.91,"Microbial"
"870","753949","Domestic Well",529083,4434318,"194475","0391474",815,TRUE,TRUE,TRUE,TRUE,TRUE,51.11,0.03,1e-04,1698.00664451827,-74.57,"Microbial"
"871","753950","Domestic Well",529119,4434643,"255263","0519844",500,TRUE,TRUE,TRUE,FALSE,TRUE,72.57,0.09,7e-04,800.110253583241,-69.63,"Microbial"
"872","753951","Domestic Well",523506,4433653,"95917","0213907",915,TRUE,TRUE,TRUE,FALSE,TRUE,54.95,0.05,1e-04,1096.80638722555,-72.85,"Microbial"
"873","753952","Domestic Well",524036,4433724,"110391","0110033",NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"874","753953","Commercial",523099,4435128,"47217","0404761B",NA,TRUE,TRUE,TRUE,FALSE,TRUE,57.36,0.07,1e-04,818.259629101284,-72.39,"Microbial"
"875","753954","Commercial",522799,4434704,"47218","0404761C",1086,TRUE,TRUE,TRUE,FALSE,TRUE,56.55,0.06,1e-04,940.931780366057,-72.4,"Microbial"
"876","753956","Domestic Well",526223,4477969,"63190","9064993",83,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"877","753957","Domestic Well",521419,4436189,"213792","0436379B",935,TRUE,TRUE,TRUE,FALSE,TRUE,45.24,0.05,1e-04,902.994011976048,-73.56,"Microbial"
"878","753958","Domestic Well",525075,4443504,"265326","0540613",684,TRUE,TRUE,TRUE,FALSE,TRUE,60.06,0.06,1e-04,999.334442595674,-72.89,"Microbial"
"879","753959","Domestic Well",527502,4433880,"237035","0483057",0,TRUE,TRUE,TRUE,FALSE,TRUE,58.04,0.05,1e-04,1158.48303393214,-71.63,"Microbial"
"880","753960","Domestic Well",525668,4443348,"226938","0460980",655,TRUE,TRUE,TRUE,FALSE,TRUE,58.84,0.06,1e-04,979.034941763727,-73.05,"Microbial"
"881","753961","Domestic Well",515946,4435670,"285852","3650168",50,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"882","753962","Commercial",512987,4444248,"68146","3640809",NA,TRUE,TRUE,TRUE,FALSE,TRUE,68.93,6.23,1.31,9.14190981432361,-53.74,"Thermogenic"
"883","753963","Domestic Well",512825,4443920,"47541","9064556",440,TRUE,TRUE,TRUE,FALSE,TRUE,40.57,0.01,1e-04,4016.83168316832,-69.75,"Microbial"
"884","753964","Domestic Well",513110,4444553,"179591","0369982",442,TRUE,TRUE,TRUE,FALSE,TRUE,52.36,0.07,6e-04,741.643059490085,-71.26,"Microbial"
"885","753965","Domestic Well",522246,4436276,"55252","9064800",130,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"886","753966","Domestic Well",514180,4444124,"191201","0391610",490,TRUE,TRUE,TRUE,FALSE,TRUE,35.91,0.03,1e-04,1193.02325581395,-69.53,"Microbial"
"887","753967","Commercial",521479,4434235,"276224","3624109",NA,TRUE,TRUE,TRUE,FALSE,TRUE,69.26,0.05,1e-04,1382.43512974052,-71.65,"Microbial"
"888","753968","Domestic Well",524212,4443541,"158630","0316193",625,TRUE,TRUE,TRUE,FALSE,TRUE,57.56,0.06,1e-04,957.737104825291,-73.06,"Microbial"
"889","753969","Domestic Well",522065,4436404,"258952","0526712",360,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"890","753970","Domestic Well",521908,4436605,"275649","3622298",390,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"891","753971","Domestic Well",518745,4435790,"289203","3656673",200,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"892","753972","Domestic Well",515627,4433595,"277809","3630010B",55,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"893","753973","Domestic Well",510447,4453547,"213048","0434444B",NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"894","753974","Commercial",512410,4436677,"74441","3647034",NA,TRUE,TRUE,TRUE,FALSE,TRUE,59.31,0.06,1e-04,986.855241264559,-73.27,"Microbial"
"895","753975","Domestic Well",516201,4434909,"143568","3631660",NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"896","753976","Ground Water",535355,4440764,"33759","9063701",766,TRUE,TRUE,TRUE,FALSE,TRUE,49.38,0.03,0.005,1410.85714285714,-73.56,"Microbial"
"897","753979","Domestic Well",513018,4444388,"176877","0364948",428,TRUE,TRUE,TRUE,FALSE,TRUE,50.1,0.06,1e-04,833.610648918469,-71.83,"Microbial"
"898","753980","Domestic Well",512850,4446388,"288736","3655921",301,TRUE,TRUE,TRUE,FALSE,TRUE,12.3,0.01,1e-04,1217.82178217822,-71.63,"Microbial"
"899","753981","Domestic Well",522735,4436400,"228119","0463752",920,TRUE,TRUE,TRUE,FALSE,TRUE,54.79,0.06,1e-04,911.647254575707,-73.36,"Microbial"
"900","753982","Domestic Well",522300,4435992,"250519","0510041",NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"901","753985","Domestic Well",520718,4434412,"41184","9064225",922,TRUE,TRUE,TRUE,FALSE,TRUE,52,0.06,1e-04,865.22462562396,-74.02,"Microbial"
"902","753987","Domestic Well",514559,4442895,"41068","0335897",520,TRUE,TRUE,TRUE,FALSE,TRUE,22.25,0.02,1e-04,1106.96517412935,-71.09,"Microbial"
"903","753988","Domestic Well",519432,4436636,"79972","0062463",835,TRUE,TRUE,TRUE,TRUE,TRUE,74.55,10.03,3.91,5.34791965566714,-53.23,"Thermogenic"
"904","753989","Domestic Well",512009,4427713,"254533","0518460A",850,TRUE,TRUE,TRUE,FALSE,TRUE,8.5,0.15,0.02,50,-68.6,"Mixed"
"905","753990","Domestic Well",522265,4435936,"55256","9064802",130,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
