"","OBJECTID","facility_id","facility_type","permit_number","receipt_number","ch4_sampled","btex_sampled","nearest_og","nearest_scp","nearest_cscp","btex_detected","ch4_detected"
"1068",1231,"754568","Domestic Well","208261","0425247","yes","yes",130.464554573263,940.340602371637,1352.19404602793,"btex not detected","ch4 detected"
"1069",1232,"754571","Domestic Well","224589","0456267A","yes","yes",505.175217127681,434.531074070909,552.086229471109,"btex not detected","ch4 detected"
"1070",1233,"754572","Domestic Well","78740","3667317","yes","yes",183.632785743723,761.085091632722,1521.56971838233,"btex not detected","ch4 detected"
"1071",1234,"754581","Stock or  Irrigation","625","C620625","yes","yes",309.381641342857,147.352719316808,1402.5746010262,"btex not detected","ch4 not detected"
"1072",1235,"754590","Irrigation","229860","0465582","yes","yes",338.496676497717,1656.71042164295,6326.56509722032,"btex not detected","ch4 not detected"
"1073",1236,"754615","Domestic Well","78518","3666476","yes","yes",370.30392922571,242.360516297125,592.337888592081,"btex not detected","ch4 detected"
"1074",1239,"754622","Stock or  Irrigation","3129","0289887","yes","yes",542.116223701154,551.64769385322,717.062247324827,"btex not detected","ch4 not detected"
"1075",1240,"754627","Domestic Well","259341","3613826","yes","yes",146.986393928146,1119.3876246075,1119.3876246075,"btex not detected","ch4 not detected"
"1076",1241,"754628","Domestic Well","97143","0090684","yes","yes",229.019649811976,232.514121223069,1024.46775117779,"btex not detected","ch4 not detected"
"1077",1242,"754629","Stock or  Irrigation","909","C620909","yes","yes",284.383543827698,1736.11700996465,1736.11700996465,"btex not detected","ch4 not detected"
"1078",1243,"754630","Domestic Well","16024","9062318","yes","yes",188.170135781425,1777.38795838566,2103.68798010626,"btex not detected","ch4 not detected"
"1079",1244,"754637","Commercial","297136","3668373","yes","yes",134.536240470737,394.275685296959,623.954716385367,"btex not detected","ch4 detected"
"1080",1247,"754664","Domestic Well","245685","0499261B","yes","yes",60.8276253029822,304.800826116093,809.726341420818,"btex not detected","ch4 detected"
"1081",1248,"754665","Ground Water","11775","90138790","yes","yes",519.897105204482,1054.49003384946,8032.88347345279,"btex not detected","ch4 not detected"
"1082",1249,"754671","Ground Water","47990","0295733","yes","yes",111.400179533069,391.037274729819,391.037274729819,"btex not detected","ch4 not detected"
"1083",1250,"754672","Domestic Well","202633","0414249","yes","yes",939.162392773476,2750.65818947461,15345.112025507,"btex not detected","ch4 not detected"
"1084",1251,"754841","Groundwater","40473","0332665","yes","yes",505.154431832484,1917.97547057039,4752.25214874761,"btex not detected","ch4 detected"
"1085",1252,"754853","Domestic Well","32194","9063607","yes","yes",369.195070389625,1022.13330927202,1647.00301450031,"btex not detected","ch4 not detected"
"1086",1253,"754857","Domestic Well","223743","3621513","yes","yes",356.893541549858,737.656942795276,4408.07214740821,"btex not detected","ch4 not detected"
"1087",1254,"754859","Domestic Well","282453","3644131A","yes","yes",173.948268171891,734.200449417341,6503.51006983407,"btex not detected","ch4 not detected"
"1088",1255,"754865","Domestic Well","138144","0250534","yes","yes",172.702055575491,1210.50186939322,4588.69670907504,"btex not detected","ch4 not detected"
"1089",1256,"754866","Ground Water","12495","0201421","yes","yes",283.748127747127,313.355485120876,313.355485120876,"btex not detected","ch4 not detected"
