facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,btex_above_mcl,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700018,Domestic Well,515919,4450104,361,WATER,549292,2016-03-03,FALSE,0,0,0,0,0,0,12,0.08,0.02,0,0,0,0,0,0.1,0.02,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,43.37,0.15,0.02,-69.32,255.11764705882354,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,549304,2016-03-03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,43.37,0.15,0.02,-69.32,255.11764705882354,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,549304,2016-03-03,FALSE,0,0,0,0,0,0,5.05,0.04,0.01,0,0,0,0,0,0.05,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,43.37,0.15,0.02,-69.32,255.11764705882354,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,550459,2016-05-04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.04,0.14,0.02,-69.05,262.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,550459,2016-05-04,FALSE,0,0,0,0,0,0,6.28,0.04,0.01,0,0,0,0,0,0.05,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.04,0.14,0.02,-69.05,262.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,550463,2016-05-04,FALSE,0,0,0,0,0,0,11,0.08,0.01,0,0,0,0,0,0.09,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,42.04,0.14,0.02,-69.05,262.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,553604,2016-07-06,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.6,0.12,0.01,-68.96,327.6923076923077,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,553604,2016-07-06,FALSE,0,0,0,0,0,0,3.76,0.02,0.0054,0,0,0,0,0,0.0254,0.0054,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.6,0.12,0.01,-68.96,327.6923076923077,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,553609,2016-07-06,FALSE,0,0,0,0,0,0,12,0.06,0.01,0,0,0,0,0,0.06999999999999999,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,42.6,0.12,0.01,-68.96,327.6923076923077,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,554401,2016-09-08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,41.35,0.13,0.02,-68.41,275.6666666666667,microbial,NA,NA,NA,18396,9062513
